,count,kewword,keep
790,2,Poetry,
791,2,Norwegian fiction -- Translations into English,
792,2,English poetry -- 20th century,
794,2,Esperanto -- Periodicals,
795,2,Free thought,
796,2,Fiction,
797,2,Fiction,
798,2,French fiction -- Translations into English,
799,2,"Lincoln, Abraham, 1809-1865",
800,2,"English poetry -- Early modern, 1500-1700",
802,2,English wit and humor -- Periodicals,
803,2,English language -- Dictionaries,
805,2,Poetry,
806,2,Birds -- Argentina,
807,2,Railroads -- Juvenile fiction,
808,2,Fiction,
809,2,Ocean,
810,2,United States -- History -- War of 1812,
812,2,Historical fiction,
813,2,Animals -- Pictorial work,
814,2,English wit and humor -- Periodicals,
815,2,Fiction,
818,2,Fiction,
819,2,"Great Britain -- History -- George III, 1760-1820",
820,2,Chivalry,
821,2,English fiction -- 19th century,
822,2,"Nightingale, Florence, 1820-1910",
824,2,Fiction,
826,2,Music -- History and criticism,
827,2,"Jones, Thomas, approximately 1530-approximately 1620 -- Fiction",
830,2,Fiction,
831,2,English wit and humor -- Periodicals,
832,2,Dutch fiction -- Translations into English,
834,2,"Great Britain -- History -- Victoria, 1837-1901",
835,2,Questions and answers -- Periodicals,
837,2,Trials (Blasphemy) -- Jerusalem,
838,2,Short stories,
839,2,Christianity -- Controversial literature,
840,2,Fiction,
841,2,Mystery fiction,
842,2,International law,
843,2,Mystery and detective stories,
844,2,English fiction,
848,2,Lake District (England) -- Pictorial works,
849,2,Mystery fiction,
854,2,Families -- Juvenile fiction,
855,2,English wit and humor -- Periodicals,
856,2,English wit and humor -- Periodicals,
859,2,Fiction,
860,2,Adventure stories,
865,2,"Novelists, English -- 19th century -- Correspondence",
867,2,Jews -- History,
869,2,"Great Britain -- History -- Civil War, 1642-1649 -- Fiction",
872,2,Fiction,
874,2,"Emin Pasha, 1840-1892",
875,2,Christian pilgrims and pilgrimages -- Poetry,
878,2,"Literature, Modern -- History and criticism",
879,2,Primates,
881,2,"History, Ancient",
883,2,Mystery and detective stories,
885,2,"Children's periodicals, American",
888,2,English wit and humor -- Periodicals,
889,2,"Children's periodicals, American",
891,2,"Bradlaugh, Charles, 1833-1891",
893,2,"Children's periodicals, American",
894,2,English wit and humor -- Periodicals,
895,2,English wit and humor -- Periodicals,
897,2,England -- Periodicals,
898,2,Canada. Canadian Army,
899,2,"Great Britain -- History -- Victoria, 1837-1901",
900,2,English wit and humor -- Periodicals,
901,2,Ireland -- Description and travel,
902,2,English wit and humor -- Periodicals,
903,2,Scotland -- Periodicals,
906,2,Periodicals,
907,2,Periodicals,
908,2,Periodicals,
910,2,"Children's periodicals, American",
911,2,"Children's periodicals, American",
912,2,"Children's periodicals, American",
913,2,"Cobbett, William 1763-1835",
914,2,"Children's periodicals, American",
